Teff,BCj,BCv,BC_Gp,U_Gp,B_Gp,Gp_V,Gp_Rc,Gp_Ic,Gp_T,Bp_Gp,Gp_Rp,Gp_J,Gp_H,Gp_K,BCje,BCve,BC_Gpe,U_Gpe,B_Gpe,Gp_Ve,Gp_Rce,Gp_Ice,Gp_Te,Bp_Gpe,Gp_Rpe,Gp_Je,Gp_He,Gp_Ke
2950.0,2.012,-3.434,-1.566,3.395,2.929,-1.868,-0.337,1.571,1.482,2.09,1.333,3.579,4.217,4.453,0.001,0.017,0.007,0.008,0.003,0.01,0.004,0.001,0.002,0.006,0.001,0.006,0.009,0.007
3000.0,1.992,-3.074,-1.4,3.504,2.892,-1.672,-0.252,1.556,1.421,1.91,1.298,3.393,4.005,4.242,0.012,0.199,0.096,0.161,0.033,0.102,0.051,0.008,0.037,0.093,0.02,0.114,0.118,0.116
3050.0,1.968,-2.861,-1.301,3.615,2.835,-1.559,-0.198,1.541,1.379,1.803,1.273,3.269,3.891,4.124,0.013,0.108,0.05,0.269,0.06,0.057,0.03,0.009,0.021,0.053,0.013,0.064,0.059,0.06
3100.0,1.952,-2.706,-1.238,3.526,2.749,-1.469,-0.163,1.522,1.349,1.714,1.251,3.19,3.817,4.043,0.013,0.11,0.053,0.213,0.045,0.058,0.033,0.011,0.023,0.054,0.015,0.068,0.067,0.065
3150.0,1.936,-2.594,-1.192,3.425,2.664,-1.399,-0.137,1.504,1.326,1.642,1.233,3.13,3.771,3.987,0.016,0.163,0.08,0.174,0.035,0.082,0.051,0.018,0.033,0.077,0.022,0.098,0.112,0.104
3200.0,1.917,-2.455,-1.135,3.381,2.587,-1.319,-0.103,1.483,1.297,1.564,1.212,3.052,3.705,3.916,0.016,0.181,0.089,0.151,0.03,0.092,0.056,0.023,0.037,0.088,0.025,0.107,0.13,0.12
3250.0,1.897,-2.332,-1.081,3.346,2.521,-1.25,-0.072,1.463,1.27,1.495,1.192,2.98,3.647,3.853,0.014,0.178,0.091,0.117,0.025,0.086,0.054,0.025,0.036,0.083,0.025,0.105,0.138,0.126
3300.0,1.878,-2.224,-1.037,3.32,2.465,-1.188,-0.044,1.442,1.245,1.434,1.173,2.915,3.595,3.799,0.013,0.195,0.104,0.099,0.021,0.091,0.059,0.03,0.04,0.089,0.029,0.117,0.162,0.149
3350.0,1.856,-2.108,-0.985,3.3,2.409,-1.123,-0.012,1.419,1.216,1.37,1.151,2.842,3.535,3.737,0.01,0.176,0.097,0.066,0.02,0.077,0.051,0.03,0.036,0.077,0.026,0.106,0.157,0.146
3400.0,1.833,-1.996,-0.936,3.285,2.347,-1.06,0.019,1.393,1.188,1.307,1.129,2.771,3.478,3.676,0.006,0.124,0.072,0.03,0.014,0.052,0.033,0.022,0.025,0.052,0.019,0.076,0.12,0.11
